Year,Start_Year,Mileage,Car_Value
2011,3,139212,8499
2012,4,111790,14999
2012,4,78000,14995
2012,4,106000,13999
2013,5,87100,15999
2013,5,127987,12995
2013,5,150069,10800
2014,5,118213,12995
2014,6,88591,15510
2015,6,76000,16500
2015,6,103000,14598
2015,7,50163,18999
2016,8,96882,17799
2016,8,67000,18598
2016,8,118000,14598
2017,9,49813,19499
2017,9,58074,19472
2018,10,194132,17999
2018,10,103311,22999
2019,11,77764,27999
2019,11,64242,24777
2020,12,13370,31988
2020,12,17051,31974
2021,13,40255,30900
2021,13,29065,30990
2022,14,55174,31899
2022,14,9290,31987
2023,15,6055,33901
2023,15,0,33484
2024,16,0,35238
2024,16,5,38438
