Date,Day_ of_ the_ week,App (Use all CAPITALS),Minutes,Category
08/24/2023,Thursday,FACEBOOK,141,Social Media
08/24,Thursday,MESSENGER,92,Other
08/24,Thursday,YOUTUBE,57,Entertainment
08/24,Thursday,MESSAGES,13,Other
08/25,Friday,FACEBOOK,224,Social Media
08/25,Friday,MESSENGER,20,Other
08/25,Friday,MESSAGES,18,Other
08/25,Friday,TEMU,11,Other
08/26,Saturday,MESSAGES,96,Other
08/26,Saturday,FACEBOOK,83,Social Media
08/26,Saturday,YOUTUBE,56,Entertainment
08/26,Saturday,MESSENGER,38,Other
08/27,Sunday,FACEBOOK,135,Social Media
08/27,Sunday,MESSENGER,92,Other
08/27,Sunday,GOOGLE,22,Education
08/27,Sunday,MESSAGES,16,Other
08/28,Monday,MESSENGER,110,Other
08/28,Monday,FACEBOOK,96,Social Media
08/28,Monday,CAMERA,50,Other
08/28,Monday,PHOTOS,29,Other
08/28,Monday,MESSAGES,24,Other
08/29,Tuesday,FACEBOOK,492,Social Media
08/29,Tuesday,MESSENGER,38,Other
08/29,Tuesday,GOOGLE,21,Education
08/29,Tuesday,MAIL,18,Other
08/30,Wednesday,FACEBOOK,226,Social Media
08/30,Wednesday,GOOGLE,97,Education
08/30,Wednesday,CAMERA,42,Other
08/30,Wednesday,TEMU,29,Other
08/30,Wednesday,YOUTUBE,29,Entertainment
08/31,Thursday,FACEBOOK,151,Social Media
08/31,Thursday,MESSENGER,77,Other
08/31,Thursday,YOUTUBE,31,Entertainment
08/31,Thursday,TEMU,25,Other
08/31,Thursday,INSTAGRAM,18,Social Media
