Date,Open,High,Low,Close,Adj Close,Volume,Day
2013-09-23,43.360001,43.669998,42.91,43.330002,43.330002,123100,0
2013-09-24,43.43,44.5,43.200001,43.950001,43.950001,89800,1
2013-09-25,43.919998,44.5,43.400002,43.66,43.66,64800,2
2013-09-26,44.09,44.400002,43.82,44.27,44.27,82500,3
2013-09-27,43.880001,44.299999,43.540001,43.959999,43.959999,124700,4
2013-09-30,43.41,44.470001,43.41,44.25,44.25,122100,5
2013-10-01,44.290001,44.830002,44.200001,44.73,44.73,100800,6
2013-10-02,44.540001,44.75,44.099998,44.540001,44.540001,127700,7
2013-10-03,44.470001,44.709999,43.720001,44.25,44.25,234000,8
2013-10-04,44.139999,44.310001,43.599998,44.009998,44.009998,148900,9
2013-10-07,43.540001,44.119999,43.540001,43.82,43.82,216400,10
2013-10-08,43.689999,44.290001,43.48,43.68,43.68,244300,11
2013-10-09,43.73,43.900002,42.439999,43.529999,43.529999,195800,12
2013-10-10,43.450001,44.98,43.029999,44.919998,44.919998,239700,13
2013-10-11,44.66,45.380001,44.66,45.25,45.25,204400,14
2013-10-14,44.880001,45.57,44.59,45.549999,45.549999,75300,15
2013-10-15,45.549999,45.630001,45.060001,45.279999,45.279999,91800,16
2013-10-16,45.75,45.849998,45.380001,45.68,45.68,116100,17
2013-10-17,45.490002,46.110001,45.41,46.110001,46.110001,117900,18
2013-10-18,47.509998,47.509998,45.619999,45.900002,45.900002,182100,19
2013-10-21,46,46,45.150002,45.689999,45.689999,109400,20
2013-10-22,46.040001,46.84,45.52,46.75,46.75,124800,21
2013-10-23,46.470001,47.400002,46.34,46.450001,46.450001,123500,22
2013-10-24,46.470001,47.110001,46.450001,46.990002,46.990002,80000,23
2013-10-25,47.169998,47.169998,46.330002,46.57,46.57,61200,24
2013-10-28,46.599998,46.599998,46,46.380001,46.380001,131200,25
2013-10-29,46.380001,47.290001,46.200001,47.139999,47.139999,151700,26
2013-10-30,47.16,47.279999,46.389999,46.549999,46.549999,62800,27
2013-10-31,46.57,47.349998,45.630001,46.720001,46.720001,146200,28
2013-11-01,46.639999,46.689999,45.279999,45.68,45.68,152300,29
2013-11-04,45.900002,46.5,45.48,46.450001,46.450001,105800,30
2013-11-05,46.689999,47,45.880001,46.32,46.32,38100,31
2013-11-06,46.689999,46.689999,45.990002,46.119999,46.119999,63100,32
2013-11-07,46.189999,46.740002,45.200001,45.34,45.34,83300,33
2013-11-08,45.310001,46.529999,45.029999,46.099998,46.099998,57100,34
2013-11-11,46.169998,46.169998,45.509998,45.82,45.82,77400,35
2013-11-12,46.130001,46.32,45.52,45.959999,45.959999,56900,36
2013-11-13,45.599998,46.860001,45.599998,46.82,46.82,83100,37
2013-11-14,46.689999,46.950001,46.25,46.66,46.66,53500,38
2013-11-15,46.59,46.91,46.34,46.810001,46.810001,83700,39
2013-11-18,46.869999,47.23,46.400002,46.450001,46.450001,70100,40
2013-11-19,46.389999,47.18,46.07,46.43,46.43,53400,41
2013-11-20,46.630001,47.040001,45.470001,46.66,46.66,81500,42
2013-11-21,46.73,47.66,46.650002,47.450001,47.450001,97900,43
2013-11-22,47.450001,47.459999,46.68,47.169998,47.169998,77700,44
2013-11-25,47.18,47.720001,46.970001,47.68,47.68,223800,45
2013-11-26,47.810001,48.34,47.439999,48.150002,48.150002,100900,46
2013-11-27,48.310001,48.93,48.099998,48.66,48.66,74300,47
2013-11-29,49.009998,49.110001,48.279999,48.709999,48.709999,70700,48
2013-12-02,48.57,48.849998,48.07,48.16,48.16,175400,49
2013-12-03,48.150002,48.849998,47.889999,47.970001,47.970001,119500,50
2013-12-04,47.740002,48.349998,46.830002,47.41,47.41,79000,51
2013-12-05,47.279999,48.009998,47.189999,47.889999,47.889999,110600,52
2013-12-06,48.259998,49.400002,48.240002,49.349998,49.349998,119500,53
2013-12-09,49.450001,49.790001,48.59,48.970001,48.970001,136200,54
2013-12-10,48.740002,49.299999,47.889999,48.389999,48.389999,139200,55
2013-12-11,48.32,48.5,47.259998,47.549999,47.549999,159500,56
2013-12-12,47.5,47.939999,47.130001,47.52,47.52,121800,57
2013-12-13,47.700001,47.889999,47.099998,47.490002,47.490002,125200,58
2013-12-16,47.57,47.950001,47.18,47.470001,47.470001,138000,59
2013-12-17,47.259998,47.860001,46.759998,47.849998,47.849998,132700,60
2013-12-18,47.950001,49.09,47.540001,49.07,49.07,130300,61
2013-12-19,48.860001,48.889999,47.959999,48.139999,48.139999,115300,62
2013-12-20,48.380001,49.630001,48.080002,49.509998,49.509998,421000,63
2013-12-23,49.529999,49.639999,49.09,49.400002,49.400002,263200,64
2013-12-24,49.580002,49.68,49.23,49.259998,49.259998,56000,65
2013-12-26,49.610001,49.700001,49.02,49.349998,49.349998,157900,66
2013-12-27,49.540001,49.540001,48.310001,49,49,126500,67
2013-12-30,48.849998,49.700001,48.810001,49.330002,49.330002,102800,68
2013-12-31,49.43,49.619999,49.080002,49.380001,49.380001,130000,69
2014-01-02,49.259998,49.57,48.389999,48.580002,48.580002,155000,70
2014-01-03,48.619999,48.799999,48.310001,48.509998,48.509998,183600,71
2014-01-06,48.599998,48.700001,47.439999,47.470001,47.470001,130900,72
2014-01-07,47.709999,48.349998,47.709999,48.189999,48.189999,172600,73
2014-01-08,48.130001,48.73,47.75,48.34,48.34,181000,74
2014-01-09,48.380001,49.169998,47.900002,48.580002,48.580002,209000,75
2014-01-10,52.52,53.630001,49,53.599998,53.599998,400900,76
2014-01-13,53.52,53.669998,51.709999,52.09,52.09,258900,77
2014-01-14,52.09,52.93,51.689999,52.639999,52.639999,132700,78
2014-01-15,52.59,52.75,51.98,52.41,52.41,150900,79
2014-01-16,54.349998,57.369999,54.130001,57.27,57.27,456300,80
2014-01-17,57.360001,58.880001,57.259998,57.650002,57.650002,302200,81
2014-01-21,58.240002,58.5,56.32,56.5,56.5,276400,82
2014-01-22,56.689999,57.790001,56.23,57.25,57.25,321100,83
2014-01-23,56.939999,57.369999,56.5,57.27,57.27,189300,84
2014-01-24,56.77,57.139999,55.82,56.450001,56.450001,224700,85
