,,,,
Timestamp,What is your sex?,What hour do you wake up in the morning?,How long (in minutes) do you spend in the shower?,"How long (in minutes) does it take for you to get ready in the morning before leaving your house?
Consider: shower, makeup, getting dressed, hair, etc."
10/29/2023 22:33:44,Male,9:00 - 9:59,37.5,30
10/29/2023 22:35:14,Male,7:00 - 7:59,10,3
10/29/2023 23:20:36,Male,6:00 - 6:59,1,60
10/30/2023 12:03:15,Female,8:00 - 8:59,15,30
10/30/2023 13:25:38,Male,7:00 - 7:59,30,15
10/30/2023 13:25:59,Female,8:00 - 8:59,40,90
10/30/2023 13:26:33,Male,8:00 - 8:59,15,10
10/30/2023 13:27:39,Female,10:00 - 10:59,15,60
10/30/2023 13:27:41,Female,10:00 - 10:59,20,60
10/30/2023 13:28:29,Female,7:00 - 7:59,60,120
10/30/2023 13:28:50,Female,6:00 - 6:59,15,30
10/30/2023 13:29:11,Female,8:00 - 8:59,10,40
10/30/2023 13:29:21,Male,8:00 - 8:59,10,40
10/30/2023 13:30:08,Female,6:00 - 6:59,20,20
10/30/2023 13:30:34,Male,7:00 - 7:59,35,20
10/30/2023 13:30:51,Female,6:00 - 6:59,60,150
10/30/2023 13:31:06,Female,5:00 - 5:59,90,120
10/30/2023 14:14:48,Female,7:00 - 7:59,10,60
10/30/2023 14:15:17,Female,8:00 - 8:59,25,90
10/30/2023 14:15:56,Male,9:00 - 9:59,5,15
10/30/2023 14:16:11,Male,8:00 - 8:59,30,45
10/30/2023 14:16:12,Female,7:00 - 7:59,20,45
10/30/2023 14:16:40,Male,7:00 - 7:59,30,20
10/30/2023 14:16:43,Male,7:00 - 7:59,15,30
10/30/2023 14:17:11,Male,6:00 - 6:59,15,20
10/30/2023 14:17:55,Male,7:00 - 7:59,15,60
10/30/2023 14:18:03,Female,7:00 - 7:59,30,90
10/30/2023 14:18:08,Male,7:00 - 7:59,20,45
10/30/2023 14:18:25,Female,8:00 - 8:59,15,30
10/30/2023 14:18:25,Male,10:00 - 10:59,30,60
10/30/2023 14:18:47,Male,7:00 - 7:59,45,30
10/30/2023 14:18:51,Male,5:00 - 5:59,10,57
10/30/2023 14:19:09,Female,8:00 - 8:59,12,30
10/30/2023 14:19:53,Male,5:00 - 5:59,15,45
10/30/2023 14:20:01,Male,11:00 - 11:59,10,15
10/30/2023 14:20:43,Female,7:00 - 7:59,45,65
10/30/2023 14:20:45,Male,8:00 - 8:59,20,20
10/30/2023 14:21:11,Female,5:00 - 5:59,25,40
10/30/2023 14:21:15,Male,6:00 - 6:59,10,30
10/30/2023 14:21:21,Male,8:00 - 8:59,15,8
10/30/2023 14:21:59,Female,7:00 - 7:59,30,60
10/30/2023 14:22:10,Female,10:00 - 10:59,30,45
10/30/2023 14:22:46,Female,7:00 - 7:59,25,45
10/30/2023 14:22:57,Male,4:00 - 4:59,20,1
10/30/2023 14:23:03,Male,8:00 - 8:59,30,5
10/30/2023 14:24:34,Female,7:00 - 7:59,40,40
10/30/2023 14:24:42,Female,7:00 - 7:59,25,40
10/30/2023 14:24:45,Male,5:00 - 5:59,15,30
10/30/2023 14:27:36,Male,4:00 - 4:59,10,20
10/30/2023 14:33:17,Female,11:00 - 11:59,20,60
10/30/2023 14:34:15,Female,7:00 - 7:59,30,1
10/30/2023 14:36:12,Male,4:00 - 4:59,15,45
10/30/2023 14:36:34,Female,8:00 - 8:59,10,35
10/30/2023 14:37:18,Male,7:00 - 7:59,30,15
10/30/2023 14:38:00,Female,6:00 - 6:59,30,60
10/30/2023 14:38:40,Female,7:00 - 7:59,15,15
10/30/2023 14:38:57,Male,5:00 - 5:59,20,20
